Policy,Episode,Run_Time_sec,Generated_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward,Avg_Queue_Length,Load_Imbalance_Std,Freq_Server_0,Freq_Server_1,Freq_Server_2
Round Robin,10,0.004993438720703125,2889.0,2889.0,0,897,-2971.070000000001,990.3566666666667,13.336797320132764,100,100,100
Round Robin,11,0.004000663757324219,2786.0,2786.0,0,897,-2801.839999999998,933.9466666666667,14.154908315128777,100,100,100
Round Robin,12,0.003998994827270508,2825.0,2825.0,0,897,-2900.7499999999995,966.9166666666666,11.636529199657756,100,100,100
Round Robin,13,0.0039997100830078125,2832.0,2832.0,0,897,-2933.11,977.7033333333334,11.430515511360644,100,100,100
Round Robin,14,0.0039997100830078125,2897.0,2897.0,0,897,-3027.4299999999994,1009.1433333333333,18.410848204456542,100,100,100
Round Robin,15,0.005000114440917969,2743.0,2743.0,0,897,-2751.459999999999,917.1533333333333,19.777851464286556,100,100,100
Round Robin,16,0.004002094268798828,2774.0,2774.0,0,897,-2856.3699999999985,952.1233333333333,16.042532263635938,100,100,100
Round Robin,17,0.003997802734375,2911.0,2911.0,0,897,-3082.3299999999995,1027.4433333333334,25.92335307428193,100,100,100
Round Robin,18,0.004076719284057617,2837.0,2837.0,0,897,-2850.95,950.3166666666667,19.71686959251443,100,100,100
Round Robin,19,0.003924846649169922,2809.0,2809.0,0,897,-2846.670000000001,948.89,19.125356932461987,100,100,100
Round Robin,20,0.005086183547973633,2892.0,2892.0,0,897,-3006.87,1002.29,21.25801684112855,100,100,100
Round Robin,21,0.003996133804321289,2882.0,2882.0,0,897,-2988.6500000000005,996.2166666666667,31.548740217224324,100,100,100
Round Robin,22,0.003997087478637695,2900.0,2900.0,0,897,-2992.8900000000003,997.63,20.112301945241153,100,100,100
Round Robin,23,0.003999948501586914,2805.0,2805.0,0,897,-2935.99,978.6633333333333,9.914275258101977,100,100,100
Round Robin,24,0.006012439727783203,2752.0,2752.0,0,897,-2730.269999999998,910.09,12.273059915284957,100,100,100
Round Robin,25,0.004073143005371094,2884.0,2884.0,0,897,-3018.710000000001,1006.2366666666667,23.650874746407546,100,100,100
Round Robin,26,0.00393366813659668,2912.0,2912.0,0,897,-3045.7200000000016,1015.24,13.834221621687572,100,100,100
Round Robin,27,0.0051724910736083984,2817.0,2817.0,0,897,-2919.52,973.1733333333333,13.398187411634142,100,100,100
Round Robin,28,0.004007816314697266,2927.0,2927.0,0,897,-3079.9999999999995,1026.6666666666667,12.185365462956042,100,100,100
Round Robin,29,0.004999637603759766,2890.0,2890.0,0,897,-3009.3999999999987,1003.1333333333333,8.83786437818833,100,100,100
Round Robin,30,0.005010843276977539,2904.0,2904.0,0,897,-3077.9699999999993,1025.99,7.344153702671084,100,100,100
Round Robin,31,0.003988981246948242,2790.0,2790.0,0,897,-2860.260000000002,953.42,10.08243053808932,100,100,100
Round Robin,32,0.0050008296966552734,2919.0,2919.0,0,897,-3046.929999999999,1015.6433333333333,9.287891613825924,100,100,100
Round Robin,33,0.0039937496185302734,2932.0,2932.0,0,897,-3096.210000000001,1032.07,15.56896294060955,100,100,100
Round Robin,34,0.0050754547119140625,2896.0,2896.0,0,897,-3032.7700000000004,1010.9233333333333,13.742009854158532,100,100,100
Round Robin,35,0.003922462463378906,2838.0,2838.0,0,897,-2899.9299999999985,966.6433333333333,9.204940515107813,100,100,100
Round Robin,36,0.005084991455078125,2812.0,2812.0,0,897,-2841.9199999999987,947.3066666666666,8.177426086092579,100,100,100
Round Robin,37,0.004010915756225586,2950.0,2950.0,0,897,-3090.76,1030.2533333333333,15.127399879632794,100,100,100
Round Robin,38,0.0049037933349609375,2933.0,2933.0,0,897,-3110.289999999998,1036.7633333333333,7.978565756314665,100,100,100
Round Robin,39,0.00400090217590332,2841.0,2841.0,0,897,-2981.1099999999988,993.7033333333334,18.4733682959975,100,100,100
Round Robin,40,0.004080057144165039,2899.0,2899.0,0,897,-3004.2700000000004,1001.4233333333333,21.331259593198308,100,100,100
Round Robin,41,0.005006551742553711,2877.0,2877.0,0,897,-3023.920000000002,1007.9733333333334,22.14653137309871,100,100,100
Round Robin,42,0.004001140594482422,2850.0,2850.0,0,897,-2911.3499999999995,970.45,14.506988966202686,100,100,100
Round Robin,43,0.003911495208740234,2895.0,2895.0,0,897,-3039.4100000000003,1013.1366666666667,20.95089644052428,100,100,100
Round Robin,44,0.005078315734863281,2863.0,2863.0,0,897,-2941.5699999999997,980.5233333333333,13.39855354337921,100,100,100
Round Robin,45,0.00400090217590332,2798.0,2798.0,0,897,-2879.2299999999996,959.7433333333333,24.456481596662627,100,100,100
Round Robin,46,0.005086660385131836,2838.0,2838.0,0,897,-2889.2200000000007,963.0733333333334,13.369553337252636,100,100,100
